from,to,relationship
lk,500,1
lk,spd,2
uv,500,1
uv,cdu,2
nr,500,1
nr,cdu,2
sw,500,1
sw,linke,2
cs,500,1
cl,501,1
cl,fdp,2
nr,501,1		
ks,501,1
lm,501,1
kd,501,1
ab,502,1
ab,gruene,2
ft,502,1
am,502,1
agl,502,1
agl,fdp,2
er,502,1
rh,503,1
rh,gruene,2
lk,503,1		
cm,503,1
kp,503,1
rk,503,1
Rk,cdu,2
chl,504,1
chl,spd,2
agl,504,1		
sb,504,1
ch,504,1
mw,504,1
os,505,1
os,spd,2
lk,506,1		
ms,506,1
ms,csu,2
vg,506,1
mb,506,1
mb,gruene,2
ra,506,1
se,507,1
se,spd,2
masz,507,1
masz,fdp,2
jdw,507,1
jdw,cdu,2
mf,507,1
kk,508,1
kk,spd,2
bh,508,1
bh,gruene,2
rp,508,1
rp,cdu,2
am,508,1
hw,508,1

